Species,Species_model,sla,lnm,lpm,CHELSA_bio10_1,CHELSA_bio10_4,CHELSA_bio10_12,CHELSA_bio10_15,PFTs,Realm,KG_classes,KG_classORD,Ancestral_DECJ_family,Ancestral_description_family
Nectandra_lineata,Nectandra_lineata,16.90469843,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,14.4126876,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,11.37273802,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,11.68877367,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,12.85329066,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,12.90797036,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,12.32904536,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,12.38261075,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,11.85884894,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,13.22367162,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,12.32795858,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,11.89721404,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,9.752775026,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,11.13627643,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,11.04238057,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,6.764562067,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,7.317259271,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,8.972823256,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,7.794216956,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_purpurea,Nectandra_purpurea,10.55292284,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
